reflection_id,dev_id,date,prompt_id,prompt_text,answer_text,insight_tags,depth_score_manual,privacy_ok
R0150,D031,2025-06-09,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что лучше записать следующий шаг и стало легче.",сон,,True
R0151,D027,2025-06-15,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, лучше записать следующий шаг — сделаю в течение часа.",граница-раб-лич,,False
R0152,D045,2025-06-21,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, дыхание выравнивает фокус — сделаю в течение часа.",цели,,False
R0153,D047,2025-06-21,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, лучше записать следующий шаг и стало легче.","фокус,перерыв,план",,True
R0154,D034,2025-07-05,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что разговор с коллегой отвлёк и стало легче.","фокус,перерыв,сон",,True
R0155,D019,2025-06-29,P4,За что ты благодарен(на) в работе сегодня?,"Замечаю, лучше записать следующий шаг и это ок.","перерыв,сон",,True
R0156,D045,2025-07-04,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что дыхание выравнивает фокус — попробую завтра снова.","план,фокус",,True
R0157,D026,2025-06-27,P3,Какая одна маленькая вещь поможет следующему шагу?,"Кажется, стоит закрыть лишние вкладки.","фокус,граница-раб-лич",,True
R0158,D030,2025-06-06,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что дыхание выравнивает фокус и стало легче.","благодарность,музыка",,False
R0159,D041,2025-06-24,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что короткий перерыв помогает и это сэкономит время.","цели,музыка,перерыв",,False
R0160,D003,2025-07-20,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, короткий перерыв помогает.","благодарность,граница-раб-лич",,True
R0161,D027,2025-06-20,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, дыхание выравнивает фокус — попробую завтра снова.","план,благодарность,музыка",,True
R0162,D001,2025-07-10,P3,Какая одна маленькая вещь поможет следующему шагу?,"Кажется, лучше записать следующий шаг — сделаю в течение часа.",план,,True
R0163,D039,2025-07-27,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что разговор с коллегой отвлёк и это сэкономит время.",сон,,False
R0164,D027,2025-06-29,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Сегодня понял(а), что стоит закрыть лишние вкладки.","фокус,граница-раб-лич,перерыв",,True
R0165,D004,2025-06-12,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что короткий перерыв помогает и стало легче.",музыка,,True
R0166,D022,2025-07-29,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, короткий перерыв помогает — попробую завтра снова.",граница-раб-лич,,True
R0167,D040,2025-07-13,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что музыка мешала и стало легче.","благодарность,сон,музыка",,True
R0168,D050,2025-06-20,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что лучше записать следующий шаг — сделаю в течение часа.","цели,план",,True
R0169,D019,2025-07-01,P2,Что получилось хорошо за последние 2–3 часа?,"Сегодня понял(а), что стоит закрыть лишние вкладки и это сэкономит время.",перерыв,,True
R0170,D045,2025-06-14,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что разговор с коллегой отвлёк.",граница-раб-лич,,True
R0171,D031,2025-07-17,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что музыка мешала — сделаю в течение часа.","перерыв,сон,план",,True
R0172,D009,2025-07-10,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, стоит закрыть лишние вкладки — попробую завтра снова.","план,сон",,True
R0173,D013,2025-06-01,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Почувствовал(а), что разговор с коллегой отвлёк — попробую завтра снова.",план,,False
R0174,D027,2025-06-03,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, разговор с коллегой отвлёк и это ок.","сон,фокус",,True
R0175,D005,2025-06-20,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что разговор с коллегой отвлёк и это ок.","музыка,цели,фокус",,True
R0176,D026,2025-07-17,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, музыка мешала и это ок.","фокус,цели,граница-раб-лич",,False
R0177,D031,2025-07-22,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, стоит закрыть лишние вкладки и это ок.","благодарность,сон,граница-раб-лич",,False
R0178,D027,2025-07-30,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Сегодня понял(а), что стоит закрыть лишние вкладки — сделаю в течение часа.","перерыв,план,музыка",,True
R0179,D014,2025-07-07,P3,Какая одна маленькая вещь поможет следующему шагу?,"Сегодня понял(а), что дыхание выравнивает фокус и это ок.","граница-раб-лич,план",,False
R0180,D041,2025-07-05,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что музыка мешала.","цели,граница-раб-лич,перерыв",,True
R0181,D046,2025-06-03,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, музыка мешала и это сэкономит время.","граница-раб-лич,сон",,True
R0182,D014,2025-07-04,P3,Какая одна маленькая вещь поможет следующему шагу?,"Сегодня понял(а), что дыхание выравнивает фокус — попробую завтра снова.",граница-раб-лич,,True
R0183,D029,2025-07-03,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Сегодня понял(а), что лучше записать следующий шаг.","благодарность,граница-раб-лич",,True
R0184,D050,2025-06-21,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, разговор с коллегой отвлёк и стало легче.",благодарность,,False
R0185,D025,2025-07-16,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что дыхание выравнивает фокус.",фокус,,True
R0186,D022,2025-06-30,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Почувствовал(а), что стоит закрыть лишние вкладки и это ок.",перерыв,,True
R0187,D021,2025-06-13,P2,Что получилось хорошо за последние 2–3 часа?,"Сегодня понял(а), что лучше записать следующий шаг.","перерыв,план",,True
R0188,D018,2025-06-10,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что стоит закрыть лишние вкладки — сделаю в течение часа.","граница-раб-лич,фокус",,True
R0189,D014,2025-07-05,P3,Какая одна маленькая вещь поможет следующему шагу?,"Сегодня понял(а), что стоит закрыть лишние вкладки — попробую завтра снова.","музыка,благодарность,граница-раб-лич",,True
R0190,D005,2025-06-20,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, дыхание выравнивает фокус и это сэкономит время.","план,фокус",,True
R0191,D007,2025-06-25,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, короткий перерыв помогает.",цели,,False
R0192,D040,2025-06-23,P3,Какая одна маленькая вещь поможет следующему шагу?,"Стоит помнить, что дыхание выравнивает фокус и это сэкономит время.","сон,музыка",,True
R0193,D006,2025-07-23,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что разговор с коллегой отвлёк.",план,,False
R0194,D031,2025-06-15,P2,Что получилось хорошо за последние 2–3 часа?,"Сегодня понял(а), что лучше записать следующий шаг — попробую завтра снова.",перерыв,,True
R0195,D021,2025-06-30,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, дыхание выравнивает фокус и это ок.",граница-раб-лич,,False
R0196,D030,2025-07-25,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что короткий перерыв помогает — сделаю в течение часа.","музыка,перерыв",,True
R0197,D026,2025-07-23,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Сегодня понял(а), что стоит закрыть лишние вкладки и это сэкономит время.","граница-раб-лич,цели",,False
R0198,D038,2025-06-27,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, лучше записать следующий шаг и стало легче.","сон,перерыв,граница-раб-лич",,True
R0199,D014,2025-07-23,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что стоит закрыть лишние вкладки.","цели,перерыв",,True
R0200,D012,2025-07-13,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что лучше записать следующий шаг и это ок.","план,фокус,перерыв",,True
R0201,D029,2025-06-12,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что разговор с коллегой отвлёк — сделаю в течение часа.","граница-раб-лич,перерыв",,False
R0202,D021,2025-07-02,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Замечаю, стоит закрыть лишние вкладки.",сон,,True
R0203,D049,2025-06-10,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что стоит закрыть лишние вкладки и это сэкономит время.","перерыв,сон",,True
R0204,D014,2025-07-14,P3,Какая одна маленькая вещь поможет следующему шагу?,"Сегодня понял(а), что дыхание выравнивает фокус — сделаю в течение часа.","перерыв,сон",,True
R0205,D040,2025-07-03,P4,За что ты благодарен(на) в работе сегодня?,"Почувствовал(а), что музыка мешала — сделаю в течение часа.",перерыв,,True
R0206,D001,2025-07-16,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что дыхание выравнивает фокус — попробую завтра снова.","граница-раб-лич,цели",,False
R0207,D045,2025-07-08,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, лучше записать следующий шаг и это сэкономит время.","музыка,план,сон",,True
R0208,D043,2025-06-12,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что лучше записать следующий шаг и это ок.",сон,,False
R0209,D010,2025-06-19,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что разговор с коллегой отвлёк и стало легче.",фокус,,True
R0210,D047,2025-07-27,P4,За что ты благодарен(на) в работе сегодня?,"Замечаю, разговор с коллегой отвлёк и это сэкономит время.","цели,граница-раб-лич,фокус",,False
R0211,D045,2025-07-09,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, стоит закрыть лишние вкладки и это сэкономит время.","благодарность,сон,перерыв",,False
R0212,D023,2025-06-15,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, разговор с коллегой отвлёк — попробую завтра снова.","фокус,перерыв",,True
R0213,D027,2025-07-30,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что лучше записать следующий шаг.","музыка,фокус,цели",,True
R0214,D008,2025-07-08,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что музыка мешала и это сэкономит время.","граница-раб-лич,план,музыка",,True
R0215,D034,2025-07-27,P5,Что бы ты сделал(а) иначе в следующий раз?,"Кажется, разговор с коллегой отвлёк.",сон,,True
R0216,D044,2025-07-11,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что стоит закрыть лишние вкладки и стало легче.","перерыв,план,фокус",,False
R0217,D030,2025-07-03,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что музыка мешала — попробую завтра снова.","музыка,сон,благодарность",,True
R0218,D045,2025-07-30,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что дыхание выравнивает фокус.","перерыв,музыка,план",,False
R0219,D038,2025-06-11,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что дыхание выравнивает фокус и это ок.",перерыв,,False
R0220,D006,2025-06-09,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что короткий перерыв помогает — сделаю в течение часа.",перерыв,,True
R0221,D018,2025-07-25,P3,Какая одна маленькая вещь поможет следующему шагу?,"Стоит помнить, что короткий перерыв помогает — сделаю в течение часа.",граница-раб-лич,,True
R0222,D043,2025-06-29,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, лучше записать следующий шаг — попробую завтра снова.",перерыв,,True
R0223,D022,2025-06-06,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, лучше записать следующий шаг — попробую завтра снова.","благодарность,цели,сон",,False
R0224,D047,2025-07-11,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что разговор с коллегой отвлёк и это ок.",музыка,,True
R0225,D004,2025-06-11,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, разговор с коллегой отвлёк — сделаю в течение часа.","план,благодарность",,True
R0226,D025,2025-07-14,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что лучше записать следующий шаг и стало легче.","перерыв,граница-раб-лич",,True
R0227,D029,2025-06-25,P3,Какая одна маленькая вещь поможет следующему шагу?,"Сегодня понял(а), что лучше записать следующий шаг — сделаю в течение часа.","фокус,план,перерыв",,True
R0228,D022,2025-06-18,P3,Какая одна маленькая вещь поможет следующему шагу?,"Стоит помнить, что лучше записать следующий шаг и это сэкономит время.",перерыв,,True
R0229,D047,2025-07-14,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, музыка мешала — сделаю в течение часа.",музыка,,True
R0230,D044,2025-06-01,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Почувствовал(а), что стоит закрыть лишние вкладки и стало легче.",цели,,False
R0231,D023,2025-06-15,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что стоит закрыть лишние вкладки и стало легче.","сон,фокус",,True
R0232,D039,2025-07-13,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что стоит закрыть лишние вкладки — попробую завтра снова.","граница-раб-лич,музыка,фокус",,False
R0233,D043,2025-07-19,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, музыка мешала и это ок.",граница-раб-лич,,False
R0234,D043,2025-07-30,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Сегодня понял(а), что музыка мешала — попробую завтра снова.","план,благодарность,сон",,True
R0235,D018,2025-07-20,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Почувствовал(а), что музыка мешала и это ок.","цели,благодарность",,True
R0236,D029,2025-06-05,P4,За что ты благодарен(на) в работе сегодня?,"Замечаю, разговор с коллегой отвлёк и это сэкономит время.",цели,,True
R0237,D010,2025-07-05,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, разговор с коллегой отвлёк и это ок.",граница-раб-лич,,True
R0238,D003,2025-06-05,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Почувствовал(а), что лучше записать следующий шаг — попробую завтра снова.","перерыв,цели,сон",,True
R0239,D003,2025-07-13,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что лучше записать следующий шаг — сделаю в течение часа.","благодарность,музыка",,True
R0240,D033,2025-07-16,P4,За что ты благодарен(на) в работе сегодня?,"Почувствовал(а), что стоит закрыть лишние вкладки — попробую завтра снова.","цели,сон",,True
R0241,D025,2025-07-15,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что разговор с коллегой отвлёк и это ок.",музыка,,False
R0242,D004,2025-07-11,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, музыка мешала.","музыка,фокус",,True
R0243,D012,2025-07-06,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, дыхание выравнивает фокус.","сон,благодарность",,True
R0244,D032,2025-06-06,P4,За что ты благодарен(на) в работе сегодня?,"Замечаю, дыхание выравнивает фокус.","сон,граница-раб-лич,фокус",,True
R0245,D032,2025-06-25,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, дыхание выравнивает фокус и стало легче.","перерыв,сон,план",,True
R0246,D004,2025-06-22,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что лучше записать следующий шаг.","граница-раб-лич,план",,True
R0247,D048,2025-07-08,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, лучше записать следующий шаг.",фокус,,True
R0248,D031,2025-07-29,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, дыхание выравнивает фокус — попробую завтра снова.",сон,,True
R0249,D020,2025-07-23,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что дыхание выравнивает фокус и стало легче.","благодарность,цели",,True
R0250,D032,2025-07-09,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, лучше записать следующий шаг и это ок.",граница-раб-лич,,False
R0251,D021,2025-06-08,P5,Что бы ты сделал(а) иначе в следующий раз?,"Почувствовал(а), что стоит закрыть лишние вкладки — попробую завтра снова.","благодарность,план,граница-раб-лич",,True
R0252,D005,2025-06-08,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, разговор с коллегой отвлёк и это ок.",цели,,True
R0253,D029,2025-06-16,P5,Что бы ты сделал(а) иначе в следующий раз?,"Почувствовал(а), что разговор с коллегой отвлёк — сделаю в течение часа.",благодарность,,False
R0254,D050,2025-06-11,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Почувствовал(а), что короткий перерыв помогает и стало легче.","граница-раб-лич,фокус",,True
R0255,D027,2025-07-15,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что стоит закрыть лишние вкладки и это сэкономит время.","благодарность,граница-раб-лич,цели",,False
R0256,D016,2025-07-31,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, стоит закрыть лишние вкладки и стало легче.","фокус,перерыв,граница-раб-лич",,True
R0257,D023,2025-06-27,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что дыхание выравнивает фокус — сделаю в течение часа.","сон,граница-раб-лич,фокус",,True
R0258,D049,2025-07-05,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, музыка мешала и стало легче.",план,,True
R0259,D008,2025-07-21,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, разговор с коллегой отвлёк и стало легче.","план,сон,граница-раб-лич",,True
R0260,D042,2025-06-24,P3,Какая одна маленькая вещь поможет следующему шагу?,"Сегодня понял(а), что музыка мешала — сделаю в течение часа.",цели,,False
R0261,D003,2025-06-07,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, стоит закрыть лишние вкладки и стало легче.","благодарность,граница-раб-лич,фокус",,True
R0262,D016,2025-07-17,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что короткий перерыв помогает и стало легче.","музыка,сон,граница-раб-лич",,True
R0263,D015,2025-06-07,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, короткий перерыв помогает и стало легче.","цели,план,граница-раб-лич",,False
R0264,D038,2025-07-02,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что лучше записать следующий шаг — попробую завтра снова.","благодарность,граница-раб-лич",,False
R0265,D024,2025-06-09,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что короткий перерыв помогает и это ок.","сон,музыка,благодарность",,True
R0266,D003,2025-07-15,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, дыхание выравнивает фокус и это сэкономит время.",перерыв,,False
R0267,D027,2025-06-11,P3,Какая одна маленькая вещь поможет следующему шагу?,"Стоит помнить, что короткий перерыв помогает.",перерыв,,True
R0268,D037,2025-07-06,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что лучше записать следующий шаг — попробую завтра снова.",цели,,False
R0269,D030,2025-06-18,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Замечаю, музыка мешала и это сэкономит время.","цели,музыка,граница-раб-лич",,True
R0270,D038,2025-07-31,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что лучше записать следующий шаг.","фокус,сон,план",,True
R0271,D028,2025-07-04,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, короткий перерыв помогает и стало легче.","граница-раб-лич,сон",,True
R0272,D045,2025-07-17,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что музыка мешала — попробую завтра снова.",благодарность,,True
R0273,D002,2025-07-01,P3,Какая одна маленькая вещь поможет следующему шагу?,"Стоит помнить, что разговор с коллегой отвлёк — сделаю в течение часа.",план,,True
R0274,D030,2025-06-30,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, разговор с коллегой отвлёк.","цели,граница-раб-лич,благодарность",,True
R0275,D041,2025-06-05,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что лучше записать следующий шаг и это ок.","музыка,перерыв,фокус",,True
R0276,D044,2025-06-06,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что дыхание выравнивает фокус и стало легче.","фокус,перерыв",,False
R0277,D024,2025-06-30,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что короткий перерыв помогает.",музыка,,True
R0278,D036,2025-07-16,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, стоит закрыть лишние вкладки и стало легче.",музыка,,False
R0279,D048,2025-07-31,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, музыка мешала и это ок.","сон,цели,музыка",,True
R0280,D033,2025-07-14,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что музыка мешала и это сэкономит время.","фокус,план",,False
R0281,D033,2025-07-04,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что музыка мешала.","перерыв,сон",,True
R0282,D013,2025-07-28,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, короткий перерыв помогает и это ок.",граница-раб-лич,,True
R0283,D007,2025-06-11,P3,Какая одна маленькая вещь поможет следующему шагу?,"Кажется, короткий перерыв помогает — попробую завтра снова.",благодарность,,True
R0284,D019,2025-06-27,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что лучше записать следующий шаг и это сэкономит время.",план,,True
R0285,D019,2025-06-13,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что разговор с коллегой отвлёк и это ок.",сон,,False
R0286,D038,2025-06-22,P3,Какая одна маленькая вещь поможет следующему шагу?,"Сегодня понял(а), что стоит закрыть лишние вкладки — попробую завтра снова.","план,сон",,True
R0287,D011,2025-07-21,P3,Какая одна маленькая вещь поможет следующему шагу?,"Сегодня понял(а), что музыка мешала и стало легче.",план,,True
R0288,D023,2025-06-19,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что музыка мешала — попробую завтра снова.",благодарность,,True
R0289,D046,2025-07-15,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что дыхание выравнивает фокус и это ок.",сон,,True
R0290,D029,2025-06-17,P3,Какая одна маленькая вещь поможет следующему шагу?,"Стоит помнить, что разговор с коллегой отвлёк и стало легче.",сон,,True
R0291,D023,2025-06-10,P3,Какая одна маленькая вещь поможет следующему шагу?,"Сегодня понял(а), что дыхание выравнивает фокус и стало легче.","благодарность,перерыв",,False
R0292,D032,2025-07-20,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что разговор с коллегой отвлёк — сделаю в течение часа.","музыка,граница-раб-лич",,True
R0293,D042,2025-07-16,P3,Какая одна маленькая вещь поможет следующему шагу?,"Стоит помнить, что разговор с коллегой отвлёк — попробую завтра снова.","перерыв,цели",,False
R0294,D022,2025-07-15,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что дыхание выравнивает фокус и это ок.","план,фокус,граница-раб-лич",,True
R0295,D026,2025-07-10,P2,Что получилось хорошо за последние 2–3 часа?,"Сегодня понял(а), что дыхание выравнивает фокус — сделаю в течение часа.","музыка,фокус",,True
R0296,D038,2025-07-04,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что стоит закрыть лишние вкладки и это сэкономит время.","сон,фокус",,True
R0297,D033,2025-06-26,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что стоит закрыть лишние вкладки и стало легче.","музыка,перерыв",,True
R0298,D026,2025-06-10,P4,За что ты благодарен(на) в работе сегодня?,"Почувствовал(а), что музыка мешала и это ок.","цели,благодарность",,True
R0299,D020,2025-06-29,P5,Что бы ты сделал(а) иначе в следующий раз?,"Кажется, разговор с коллегой отвлёк и это сэкономит время.",сон,,False
R0300,D019,2025-06-11,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что дыхание выравнивает фокус — попробую завтра снова.","цели,граница-раб-лич,перерыв",,True